Ticker,Score,Months,Value,Values
LOW,1.1455,71,1.99833,1.00045|1.02382|1.04664|1.07248|1.09661|1.12241|1.14977|1.17478|1.19962|1.22155|1.24601|1.27028|1.29294|1.31677|1.34189|1.36964|1.40081|1.43334|1.46927|1.50291|1.53567|1.56722|1.59828|1.62961|1.66388|1.69831|1.73158|1.76509|1.79457|1.8196|1.84911|1.87963|1.91462|1.94497|1.97228|1.99833
BMY,1.069,71,1.46267,0.99154|0.99521|0.99962|1.00532|1.01113|1.01505|1.0196|1.02532|1.03197|1.03831|1.04366|1.0496|1.05673|1.06586|1.07832|1.09252|1.10896|1.12612|1.14243|1.15978|1.17754|1.19522|1.21415|1.23347|1.25287|1.27246|1.2922|1.31166|1.33155|1.35091|1.37076|1.3895|1.40891|1.42571|1.44397|1.46267
DHR,1.1635,71,2.14453,1.00452|1.0304|1.05449|1.08006|1.10496|1.13|1.15445|1.18067|1.20779|1.23449|1.26359|1.29282|1.32287|1.35027|1.3773|1.40719|1.43968|1.47362|1.508|1.54236|1.57855|1.61436|1.6518|1.68931|1.72614|1.76498|1.80317|1.83961|1.87751|1.91362|1.94883|1.98609|2.02567|2.06394|2.10489|2.14453
USB,1.0584,71,1.38753,0.99579|1.00774|1.01748|1.0284|1.03856|1.04971|1.06028|1.07051|1.08212|1.09327|1.10578|1.12022|1.13366|1.14521|1.1559|1.1677|1.18084|1.19423|1.20691|1.21961|1.23223|1.2438|1.25573|1.26707|1.27864|1.2903|1.30241|1.31337|1.32438|1.33562|1.34656|1.35599|1.36559|1.37313|1.3811|1.38753
ANTM,1.1471,71,2.01471,1.00456|1.03414|1.06395|1.09154|1.12072|1.15083|1.18296|1.21673|1.25069|1.28081|1.31194|1.34551|1.37934|1.41272|1.44091|1.46742|1.49414|1.52554|1.55824|1.5827|1.60525|1.63208|1.66101|1.69177|1.72334|1.75275|1.78268|1.81781|1.85127|1.87798|1.9028|1.92634|1.95128|1.97129|1.9939|2.01471
BKNG,1.9898,71,8.72367,1.00532|1.06496|1.13573|1.20451|1.25484|1.32393|1.40099|1.47066|1.54555|1.62689|1.73223|1.84308|1.95698|2.07496|2.20489|2.32573|2.44804|2.57637|2.7389|2.93153|3.13881|3.35651|3.59142|3.84954|4.14629|4.46874|4.82614|5.22153|5.64828|6.10075|6.58167|7.03403|7.4522|7.85006|8.26265|8.72367
CAT,1.1222,71,1.84754,1.00003|1.02466|1.0518|1.08158|1.11027|1.13957|1.16853|1.19774|1.22749|1.25538|1.28392|1.30986|1.33334|1.3528|1.37466|1.39753|1.42592|1.45263|1.4767|1.49342|1.51179|1.53016|1.54961|1.57301|1.59301|1.61753|1.64409|1.67323|1.70563|1.73777|1.76729|1.79485|1.81787|1.83267|1.84018|1.84754
UPS,1.0418,71,1.27772,0.99606|1.00311|1.00943|1.017|1.02521|1.03266|1.03966|1.04883|1.05749|1.06657|1.07599|1.08469|1.09358|1.10225|1.11064|1.11899|1.12771|1.13592|1.14481|1.15353|1.16191|1.17011|1.17901|1.18752|1.19599|1.20565|1.21491|1.22307|1.23147|1.23821|1.24465|1.25163|1.25911|1.26526|1.2725|1.27772
CVS,1.1477,71,1.9618,0.9968|1.01326|1.03052|1.04868|1.06593|1.08037|1.09411|1.11026|1.12784|1.15056|1.17531|1.20338|1.23215|1.2606|1.28902|1.31979|1.35123|1.38455|1.42017|1.45756|1.49492|1.53112|1.56655|1.60095|1.63632|1.67287|1.70891|1.74266|1.77573|1.80731|1.83769|1.86408|1.88974|1.91225|1.93578|1.9618
LMT,1.1708,71,2.20083,1.00465|1.03283|1.06016|1.08954|1.11812|1.14707|1.17876|1.20954|1.24107|1.27443|1.30768|1.34042|1.37323|1.40159|1.42726|1.45236|1.47832|1.50921|1.54058|1.57675|1.61428|1.64918|1.68617|1.72526|1.76425|1.80766|1.85117|1.89241|1.93336|1.97377|2.0151|2.05531|2.09105|2.12763|2.16375|2.20083
MDLZ,1.0189,71,1.12164,0.99538|1.00124|1.00536|1.00932|1.01273|1.01417|1.01562|1.01773|1.02014|1.02119|1.02523|1.0303|1.03506|1.04079|1.04603|1.05088|1.05534|1.05959|1.06331|1.06731|1.07216|1.07434|1.07804|1.08169|1.08486|1.0887|1.09326|1.09687|1.10168|1.10674|1.11152|1.11431|1.1164|1.11699|1.11925|1.12164
