Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"LAMR","LAMAR ADVERTISING COMPANY CLAS","Equity","0.40","80.05","2,440,507.00","195,362,585.35","195,362,585.35","Real Estate","BSPHGN6","US5128161099","NASDAQ"
"ARW","ARROW ELECTRONICS INC","Equity","0.40","79.93","2,433,457.00","194,506,218.01","194,506,218.01","Information Technology","2051404","US0427351004","New York Stock Exchange Inc."
"CC","CHEMOURS","Equity","0.40","40.58","4,786,632.00","194,241,526.56","194,241,526.56","Materials","BZ0CTP8","US1638511089","New York Stock Exchange Inc."
"BRO","BROWN & BROWN INC","Equity","0.40","29.11","6,653,023.00","193,669,499.53","193,669,499.53","Financials","2692687","US1152361010","New York Stock Exchange Inc."
"SEIC","SEI INVESTMENTS","Equity","0.40","52.27","3,699,741.00","193,385,462.07","193,385,462.07","Financials","2793610","US7841171033","NASDAQ"
"MASI","MASIMO CORP","Equity","0.40","137.05","1,401,770.00","192,112,578.50","192,112,578.50","Health Care","B1YWR63","US5747951003","NASDAQ"
"ATR","APTARGROUP INC","Equity","0.39","105.54","1,803,317.00","190,322,076.18","190,322,076.18","Materials","2045247","US0383361039","New York Stock Exchange Inc."
"FIVE","FIVE BELOW INC","Equity","0.39","118.64","1,597,106.00","189,480,655.84","189,480,655.84","Consumer Discretionary","B85KFY9","US33829M1018","NASDAQ"
"AFG","AMERICAN FINANCIAL GROUP INC","Equity","0.39","95.39","1,984,087.00","189,262,058.93","189,262,058.93","Financials","2134532","US0259321042","New York Stock Exchange Inc."
"WTR","AQUA AMERICA INC","Equity","0.39","36.88","5,104,684.00","188,260,745.92","188,260,745.92","Utilities","2685234","US03836W1036","New York Stock Exchange Inc."
"DEI","DOUGLAS EMMETT REIT INC","Equity","0.39","40.53","4,633,861.00","187,810,386.33","187,810,386.33","Real Estate","B1G3M58","US25960P1093","New York Stock Exchange Inc."
"HUBB","HUBBELL INC","Equity","0.39","119.61","1,564,704.00","187,154,245.44","187,154,245.44","Industrials","BDFG6S3","US4435106079","New York Stock Exchange Inc."
"ACC","AMERICAN CAMPUS COMMUNITIES REIT I","Equity","0.38","46.87","3,924,229.00","183,928,613.23","183,928,613.23","Real Estate","B02H871","US0248351001","New York Stock Exchange Inc."
"INGR","INGREDION INC","Equity","0.38","95.72","1,910,234.00","182,847,598.48","182,847,598.48","Consumer Staples","B7K24P7","US4571871023","New York Stock Exchange Inc."
"PRAH","PRA HEALTH SCIENCES INC","Equity","0.38","108.04","1,690,023.00","182,590,084.92","182,590,084.92","Health Care","BSHZ3V5","US69354M1080","NASDAQ"
"BIO","BIO RAD LABORATORIES INC CLASS A","Equity","0.38","315.57","576,981.00","182,077,894.17","182,077,894.17","Health Care","2098508","US0905722072","New York Stock Exchange Inc."
"DCI","DONALDSON INC","Equity","0.37","49.46","3,662,487.00","181,146,607.02","181,146,607.02","Industrials","2276467","US2576511099","New York Stock Exchange Inc."
"POOL","POOL CORP","Equity","0.37","159.76","1,128,625.00","180,309,130.00","180,309,130.00","Consumer Discretionary","2781585","US73278L1052","NASDAQ"
"CTLT","CATALENT INC","Equity","0.37","43.12","4,172,650.00","179,924,668.00","179,924,668.00","Health Care","BP96PQ4","US1488061029","New York Stock Exchange Inc."
"IDTI","INTEGRATED DEVICE TECHNOLOGY INC","Equity","0.37","47.84","3,697,056.00","176,867,159.04","176,867,159.04","Information Technology","2462437","US4581181066","NASDAQ"
"CREE","CREE INC","Equity","0.36","59.44","2,957,149.00","175,772,936.56","175,772,936.56","Information Technology","2232351","US2254471012","NASDAQ"
"CFR","CULLEN FROST BANKERS INC","Equity","0.36","96.93","1,804,958.00","174,954,578.94","174,954,578.94","Financials","2239556","US2298991090","New York Stock Exchange Inc."
"RNR","RENAISSANCERE HOLDING LTD","Equity","0.36","143.91","1,209,251.00","174,023,311.41","174,023,311.41","Financials","2728429","BMG7496G1033","New York Stock Exchange Inc."
"EHC","ENCOMPASS HEALTH CORP","Equity","0.36","61.36","2,828,911.00","173,581,978.96","173,581,978.96","Health Care","BYX2YJ7","US29261A1007","New York Stock Exchange Inc."
"RS","RELIANCE STEEL & ALUMINUM","Equity","0.36","90.31","1,921,689.00","173,547,733.59","173,547,733.59","Materials","2729068","US7595091023","New York Stock Exchange Inc."
"RGLD","ROYAL GOLD INC","Equity","0.36","92.24","1,880,191.00","173,428,817.84","173,428,817.84","Materials","2755706","US7802871084","NASDAQ"
"SON","SONOCO PRODUCTS","Equity","0.36","60.27","2,862,317.00","172,511,845.59","172,511,845.59","Materials","2821395","US8354951027","New York Stock Exchange Inc."
"SABR","SABRE CORP","Equity","0.35","21.63","7,903,699.00","170,957,009.37","170,957,009.37","Information Technology","BLLHH27","US78573M1045","NASDAQ"
"DNKN","DUNKIN BRANDS GROUP INC","Equity","0.35","72.19","2,367,346.00","170,898,707.74","170,898,707.74","Consumer Discretionary","B3LHT03","US2655041000","NASDAQ"
"ORI","OLD REPUBLIC INTERNATIONAL CORP","Equity","0.35","20.79","8,158,142.00","169,607,772.18","169,607,772.18","Financials","2659109","US6802231042","New York Stock Exchange Inc."
"CBSH","COMMERCE BANCSHARES INC","Equity","0.34","58.54","2,827,743.00","165,536,075.22","165,536,075.22","Financials","2213204","US2005251036","NASDAQ"
"SNV","SYNOVUS FINANCIAL CORP","Equity","0.34","36.01","4,568,904.00","164,526,233.04","164,526,233.04","Financials","BMH4NJ8","US87161C5013","New York Stock Exchange Inc."
"EPR","EPR PROPERTIES REIT","Equity","0.34","76.44","2,145,557.00","164,006,377.08","164,006,377.08","Real Estate","B8XXZP1","US26884U1097","New York Stock Exchange Inc."
"MPWR","MONOLITHIC POWER SYSTEMS INC","Equity","0.34","145.01","1,130,913.00","163,993,694.13","163,993,694.13","Information Technology","B01Z7J1","US6098391054","NASDAQ"
"CONE","CYRUSONE REIT INC","Equity","0.34","52.47","3,100,872.00","162,702,753.84","162,702,753.84","Real Estate","B7YRLH9","US23283R1005","NASDAQ"
"CY","CYPRESS SEMICONDUCTOR CORP","Equity","0.33","15.52","10,422,441.00","161,756,284.32","161,756,284.32","Information Technology","2244549","US2328061096","NASDAQ"
"XPO","XPO LOGISTICS INC","Equity","0.33","51.48","3,127,629.00","161,010,340.92","161,010,340.92","Industrials","B6Z1355","US9837931008","New York Stock Exchange Inc."
"CIEN","CIENA CORP","Equity","0.33","38.53","4,119,818.00","158,736,587.54","158,736,587.54","Information Technology","B1FLZ21","US1717793095","New York Stock Exchange Inc."
"FAF","FIRST AMERICAN FINANCIAL CORP","Equity","0.33","49.58","3,193,501.00","158,333,779.58","158,333,779.58","Financials","B4NFPK4","US31847R1023","New York Stock Exchange Inc."
"NYCB","NEW YORK COMMUNITY BANCORP INC","Equity","0.32","11.72","13,416,656.00","157,243,208.32","157,243,208.32","Financials","2711656","US6494451031","New York Stock Exchange Inc."
"VSM","VERSUM MATERIALS INC","Equity","0.32","50.17","3,125,005.00","156,781,500.85","156,781,500.85","Information Technology","BD37KN1","US92532W1036","New York Stock Exchange Inc."
"WWD","WOODWARD INC","Equity","0.32","97.17","1,600,236.00","155,494,932.12","155,494,932.12","Industrials","2948089","US9807451037","NASDAQ"
"BRX","BRIXMOR PROPERTY GROUP REIT INC","Equity","0.32","18.07","8,550,500.00","154,507,535.00","154,507,535.00","Real Estate","BFTDJL8","US11120U1051","New York Stock Exchange Inc."
"TDC","TERADATA CORP","Equity","0.32","45.87","3,359,990.00","154,122,741.30","154,122,741.30","Information Technology","B247H10","US88076W1036","New York Stock Exchange Inc."
"UTHR","UNITED THERAPEUTICS CORP","Equity","0.32","122.99","1,252,050.00","153,989,629.50","153,989,629.50","Health Care","2430412","US91307C1027","NASDAQ"
"LECO","LINCOLN ELECTRIC HOLDINGS INC","Equity","0.32","85.01","1,811,172.00","153,967,731.72","153,967,731.72","Industrials","2516851","US5339001068","NASDAQ"
"GNTX","GENTEX CORP","Equity","0.31","20.42","7,424,276.00","151,603,715.92","151,603,715.92","Consumer Discretionary","2366799","US3719011096","NASDAQ"
"OSK","OSHKOSH CORP","Equity","0.31","75.38","2,006,025.00","151,214,164.50","151,214,164.50","Industrials","2663520","US6882392011","New York Stock Exchange Inc."
"NFG","NATIONAL FUEL GAS","Equity","0.31","60.92","2,470,747.00","150,517,907.24","150,517,907.24","Utilities","2626103","US6361801011","New York Stock Exchange Inc."
"CHE","CHEMED CORP","Equity","0.31","327.65","457,249.00","149,817,634.85","149,817,634.85","Health Care","2190084","US16359R1032","New York Stock Exchange Inc."
"WPX","WPX ENERGY INC","Equity","0.31","13.18","11,316,392.00","149,150,046.56","149,150,046.56","Energy","B40PCD9","US98212B1035","New York Stock Exchange Inc."
"PRI","PRIMERICA INC","Equity","0.31","122.02","1,219,535.00","148,807,660.70","148,807,660.70","Financials","B50K3X8","US74164M1080","New York Stock Exchange Inc."
"MAN","MANPOWER INC","Equity","0.31","85.85","1,729,103.00","148,443,492.55","148,443,492.55","Industrials","2562490","US56418H1005","New York Stock Exchange Inc."
"CZR","CAESARS ENTERTAINMENT CORP","Equity","0.31","8.89","16,693,232.00","148,402,832.48","148,402,832.48","Consumer Discretionary","B3TDL41","US1276861036","NASDAQ"
"ARRS","ARRIS INTERNATIONAL PLC","Equity","0.31","31.66","4,686,888.00","148,386,874.08","148,386,874.08","Information Technology","BZ04Y37","GB00BZ04Y379","NASDAQ"
"EQT","EQT CORP","Equity","0.31","20.26","7,295,135.00","147,799,435.10","147,799,435.10","Energy","2319414","US26884L1098","New York Stock Exchange Inc."
