Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"ITW","ILLINOIS TOOL INC","Equity","0.19","143.22","2,080,692.00","297,996,708.24","297,996,708.24","Industrials","2457552","US4523081093","New York Stock Exchange Inc."
"ILMN","ILLUMINA INC","Equity","0.19","296.88","1,002,449.00","297,607,059.12","297,607,059.12","Health Care","2613990","US4523271090","NASDAQ"
"AGN","ALLERGAN","Equity","0.19","136.60","2,160,591.00","295,136,730.60","295,136,730.60","Health Care","BY9D546","IE00BY9D5467","New York Stock Exchange Inc."
"ECL","ECOLAB INC","Equity","0.18","167.09","1,736,695.00","290,184,367.55","290,184,367.55","Materials","2304227","US2788651006","New York Stock Exchange Inc."
"ICE","INTERCONTINENTAL EXCHANGE INC","Equity","0.18","74.87","3,875,514.00","290,159,733.18","290,159,733.18","Financials","BFSSDS9","US45866F1049","New York Stock Exchange Inc."
"EMR","EMERSON ELECTRIC","Equity","0.18","67.74","4,275,350.00","289,612,209.00","289,612,209.00","Industrials","2313405","US2910111044","New York Stock Exchange Inc."
"HUM","HUMANA INC","Equity","0.18","307.56","934,793.00","287,504,935.08","287,504,935.08","Health Care","2445063","US4448591028","New York Stock Exchange Inc."
"PGR","PROGRESSIVE CORP","Equity","0.18","72.11","3,966,574.00","286,029,651.14","286,029,651.14","Financials","2705024","US7433151039","New York Stock Exchange Inc."
"KMB","KIMBERLY CLARK CORP","Equity","0.18","119.73","2,364,872.00","283,146,124.56","283,146,124.56","Consumer Staples","2491839","US4943681035","New York Stock Exchange Inc."
"AON","AON PLC CLASS A","Equity","0.18","172.40","1,634,793.00","281,838,313.20","281,838,313.20","Financials","B5BT0K0","GB00B5BT0K07","New York Stock Exchange Inc."
"CTSH","COGNIZANT TECHNOLOGY SOLUTIONS COR","Equity","0.18","71.34","3,941,297.00","281,172,127.98","281,172,127.98","Information Technology","2257019","US1924461023","NASDAQ"
"PSX","PHILLIPS","Equity","0.18","96.81","2,882,007.00","279,007,097.67","279,007,097.67","Energy","B78C4Y8","US7185461040","New York Stock Exchange Inc."
"BBT","BB AND T CORP","Equity","0.17","51.83","5,272,965.00","273,297,775.95","273,297,775.95","Financials","2830904","US0549371070","New York Stock Exchange Inc."
"AEP","AMERICAN ELECTRIC POWER INC","Equity","0.17","81.15","3,361,069.00","272,750,749.35","272,750,749.35","Utilities","2026242","US0255371017","New York Stock Exchange Inc."
"APD","AIR PRODUCTS AND CHEMICALS INC","Equity","0.17","178.67","1,496,310.00","267,345,707.70","267,345,707.70","Materials","2011602","US0091581068","New York Stock Exchange Inc."
"PRU","PRUDENTIAL FINANCIAL INC","Equity","0.17","94.49","2,812,227.00","265,727,329.23","265,727,329.23","Financials","2819118","US7443201022","New York Stock Exchange Inc."
"WM","WASTE MANAGEMENT INC","Equity","0.17","99.32","2,672,526.00","265,435,282.32","265,435,282.32","Industrials","2937667","US94106L1098","New York Stock Exchange Inc."
"ADI","ANALOG DEVICES INC","Equity","0.17","105.28","2,518,945.00","265,194,529.60","265,194,529.60","Information Technology","2032067","US0326541051","NASDAQ"
"COF","CAPITAL ONE FINANCIAL CORP","Equity","0.17","82.07","3,226,814.00","264,824,624.98","264,824,624.98","Financials","2654461","US14040H1059","New York Stock Exchange Inc."
"AMAT","APPLIED MATERIAL INC","Equity","0.16","38.83","6,705,566.00","260,377,127.78","260,377,127.78","Information Technology","2046552","US0382221051","NASDAQ"
"AIG","AMERICAN INTERNATIONAL GROUP INC","Equity","0.16","43.01","6,026,561.00","259,202,388.61","259,202,388.61","Financials","2027342","US0268747849","New York Stock Exchange Inc."
"HCA","HCA HEALTHCARE INC","Equity","0.16","142.01","1,820,199.00","258,486,459.99","258,486,459.99","Health Care","B4MGBG6","US40412C1018","New York Stock Exchange Inc."
"TGT","TARGET CORP","Equity","0.16","72.03","3,552,836.00","255,910,777.08","255,910,777.08","Consumer Discretionary","2259101","US87612E1064","New York Stock Exchange Inc."
"USD","USD CASH","Cash","0.16","100.00","253,989,604.00","253,989,604.13","253,989,604.13","Cash and/or Derivatives","-","-","-"
"AFL","AFLAC INC","Equity","0.16","48.90","5,182,070.00","253,403,223.00","253,403,223.00","Financials","2026361","US0010551028","New York Stock Exchange Inc."
"HPQ","HP INC","Equity","0.16","23.39","10,819,429.00","253,066,444.31","253,066,444.31","Information Technology","BYX4D52","US40434L1052","New York Stock Exchange Inc."
"BAX","BAXTER INTERNATIONAL INC","Equity","0.16","74.03","3,367,431.00","249,290,916.93","249,290,916.93","Health Care","2085102","US0718131099","New York Stock Exchange Inc."
"KMI","KINDER MORGAN INC","Equity","0.16","19.19","12,936,546.00","248,252,317.74","248,252,317.74","Energy","B3NQ4P8","US49456B1017","New York Stock Exchange Inc."
"EW","EDWARDS LIFESCIENCES CORP","Equity","0.16","173.94","1,422,185.00","247,374,858.90","247,374,858.90","Health Care","2567116","US28176E1082","New York Stock Exchange Inc."
"SHW","SHERWIN WILLIAMS","Equity","0.16","439.70","562,249.00","247,220,885.30","247,220,885.30","Materials","2804211","US8243481061","New York Stock Exchange Inc."
"MAR","MARRIOTT INTERNATIONAL INC CLASS A","Equity","0.15","127.37","1,929,884.00","245,809,325.08","245,809,325.08","Consumer Discretionary","2210614","US5719032022","NASDAQ"
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Money Market","0.15","1.00","244,428,566.00","244,428,566.24","244,428,566.24","Cash and/or Derivatives","-","US0669224778","-"
"VLO","VALERO ENERGY CORP","Equity","0.15","84.48","2,882,934.00","243,550,264.32","243,550,264.32","Energy","2041364","US91913Y1001","New York Stock Exchange Inc."
