Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"VMW","VMWARE INC CLASS A","Equity","0.05","170.79","51,563.00","8,806,444.77","8,806,444.77","Information Technology","B23SN61","US9285634021","New York Stock Exchange Inc."
"NCLH","NORWEGIAN CRUISE LINE HOLDINGS LTD","Equity","0.05","55.52","158,268.00","8,787,039.36","8,787,039.36","Consumer Discretionary","B9CGTC3","BMG667211046","New York Stock Exchange Inc."
"VAR","VARIAN MEDICAL SYSTEMS INC","Equity","0.05","131.71","66,579.00","8,769,120.09","8,769,120.09","Health Care","2927516","US92220P1057","New York Stock Exchange Inc."
"DGX","QUEST DIAGNOSTICS INC","Equity","0.05","87.81","99,662.00","8,751,320.22","8,751,320.22","Health Care","2702791","US74834L1008","New York Stock Exchange Inc."
"MLM","MARTIN MARIETTA MATERIALS INC","Equity","0.05","190.38","45,698.00","8,699,985.24","8,699,985.24","Materials","2572079","US5732841060","New York Stock Exchange Inc."
"EMN","EASTMAN CHEMICAL","Equity","0.05","83.69","103,795.00","8,686,603.55","8,686,603.55","Materials","2298386","US2774321002","New York Stock Exchange Inc."
"FTNT","FORTINET INC","Equity","0.05","84.49","102,682.00","8,675,602.18","8,675,602.18","Information Technology","B5B2106","US34959E1091","NASDAQ"
"VNO","VORNADO REALTY TRUST REIT","Equity","0.05","68.42","126,355.00","8,645,209.10","8,645,209.10","Real Estate","2933632","US9290421091","New York Stock Exchange Inc."
"MAA","MID AMERICA APARTMENT COMMUNITIES","Equity","0.05","104.28","82,784.00","8,632,715.52","8,632,715.52","Real Estate","2589132","US59522J1034","New York Stock Exchange Inc."
"UDR","UDR REIT INC","Equity","0.05","44.74","191,843.00","8,583,055.82","8,583,055.82","Real Estate","2727910","US9026531049","New York Stock Exchange Inc."
"SJM","JM SMUCKER","Equity","0.05","106.77","80,208.00","8,563,808.16","8,563,808.16","Consumer Staples","2951452","US8326964058","New York Stock Exchange Inc."
"WPC","W. P. CAREY REIT INC","Equity","0.04","74.40","114,920.00","8,550,048.00","8,550,048.00","Real Estate","B826YT8","US92936U1097","New York Stock Exchange Inc."
"TSCO","TRACTOR SUPPLY","Equity","0.04","97.01","87,979.00","8,534,842.79","8,534,842.79","Consumer Discretionary","2900335","US8923561067","NASDAQ"
"FMC","FMC CORP","Equity","0.04","88.20","96,642.00","8,523,824.40","8,523,824.40","Materials","2328603","US3024913036","New York Stock Exchange Inc."
"MOS","MOSAIC","Equity","0.04","33.17","254,876.00","8,454,236.92","8,454,236.92","Materials","B3NPHP6","US61945C1036","New York Stock Exchange Inc."
"CAG","CONAGRA BRANDS INC","Equity","0.04","24.07","350,449.00","8,435,307.43","8,435,307.43","Consumer Staples","2215460","US2058871029","New York Stock Exchange Inc."
"NBL","NOBLE ENERGY INC","Equity","0.04","23.86","353,461.00","8,433,579.46","8,433,579.46","Energy","2640761","US6550441058","New York Stock Exchange Inc."
"TRU","TRANSUNION","Equity","0.04","63.16","133,290.00","8,418,596.40","8,418,596.40","Industrials","BYMWL86","US89400J1079","New York Stock Exchange Inc."
"MAS","MASCO CORP","Equity","0.04","37.72","222,856.00","8,406,128.32","8,406,128.32","Industrials","2570200","US5745991068","New York Stock Exchange Inc."
"KSU","KANSAS CITY SOUTHERN","Equity","0.04","111.75","75,211.00","8,404,829.25","8,404,829.25","Industrials","2607647","US4851703029","New York Stock Exchange Inc."
"HRL","HORMEL FOODS CORP","Equity","0.04","41.99","199,392.00","8,372,470.08","8,372,470.08","Consumer Staples","2437264","US4404521001","New York Stock Exchange Inc."
"BR","BROADRIDGE FINANCIAL SOLUTIONS INC","Equity","0.04","99.60","83,557.00","8,322,277.20","8,322,277.20","Information Technology","B1VP7R6","US11133T1034","New York Stock Exchange Inc."
"ALLY","ALLY FINANCIAL INC","Equity","0.04","27.01","307,293.00","8,299,983.93","8,299,983.93","Financials","B72XK05","US02005N1000","New York Stock Exchange Inc."
"UHS","UNIVERSAL HEALTH SERVICES INC CLAS","Equity","0.04","134.55","61,536.00","8,279,668.80","8,279,668.80","Health Care","2923785","US9139031002","New York Stock Exchange Inc."
"AAP","ADVANCE AUTO PARTS INC","Equity","0.04","161.31","51,281.00","8,272,138.11","8,272,138.11","Consumer Discretionary","2822019","US00751Y1064","New York Stock Exchange Inc."
"CPRT","COPART INC","Equity","0.04","56.53","146,317.00","8,271,300.01","8,271,300.01","Industrials","2208073","US2172041061","NASDAQ"
