Date,Open,High,Low,Close,Adj Close,Volume
2017-12-19,268.48,268.53,267.09,267.17,262.1898,82382900
2017-12-20,268.27,268.33,266.69,267.03,262.0524,76751500
2017-12-21,267.74,268.39,267.3,267.58,262.5921,67032300
2017-12-22,267.6,267.64,266.9,267.51,262.5234,78720900
2017-12-26,267.05,267.44,266.89,267.19,262.2094,45244400
2017-12-27,267.38,267.73,267.01,267.32,262.337,57751000
2017-12-28,267.89,267.92,267.45,267.87,262.8767,45116100
2017-12-29,268.53,268.55,266.64,266.86,261.8856,96007400
2018-01-02,267.84,268.81,267.4,268.77,263.7599,86655700
2018-01-03,268.96,270.64,268.96,270.47,265.4283,90070400
2018-01-04,271.2,272.16,270.54,271.61,266.547,80636400
2018-01-05,272.51,273.56,271.95,273.42,268.3233,83524000
2018-01-08,273.31,274.1,272.98,273.92,268.8139,57319200
2018-01-09,274.4,275.25,274.08,274.54,269.4224,57254000
2018-01-10,273.68,274.42,272.92,274.12,269.0102,69574300
2018-01-11,274.75,276.12,274.56,276.12,270.9729,62361500
2018-01-12,276.42,278.11,276.08,277.92,272.7394,90816100
2018-01-16,279.35,280.09,276.18,276.97,271.8071,106555100
2018-01-17,278.03,280.05,276.97,279.61,274.3978,109354500
2018-01-18,279.48,279.96,278.58,279.14,273.9366,100728000
2018-01-19,279.8,280.41,279.14,280.41,275.1829,140920100
2018-01-22,280.17,282.69,280.11,282.69,277.4204,91322400
2018-01-23,282.74,283.62,282.37,283.29,278.0093,97084700
2018-01-24,284.02,284.7,281.84,283.18,277.9013,134816100
2018-01-25,284.16,284.27,282.4,283.3,278.019,84587300
2018-01-26,284.25,286.63,283.96,286.58,281.2379,107743100
2018-01-29,285.93,286.43,284.5,284.68,279.3733,90118300
2018-01-30,282.6,284.74,281.22,281.76,276.5078,131796400
2018-01-31,282.73,283.3,280.68,281.9,276.6452,108364800
2018-02-01,281.07,283.06,280.68,281.58,276.3311,90102500
2018-02-02,280.08,280.23,275.41,275.45,270.3154,173174800
2018-02-05,273.45,275.85,263.31,263.93,259.0101,294681800
2018-02-06,259.94,269.7,258.7,269.13,264.1132,355026800
2018-02-07,268.5,272.36,267.58,267.67,262.6804,167376100
2018-02-08,268.01,268.17,257.59,257.63,252.8276,246449500
2018-02-09,260.8,263.61,252.92,261.5,256.6255,283565300
2018-02-12,263.83,267.01,261.66,265.34,260.3939,143736000
2018-02-13,263.97,266.62,263.31,266.0,261.0416,81223600
2018-02-14,264.31,270.0,264.3,269.59,264.5647,120735700
2018-02-15,271.57,273.04,268.77,273.03,267.9405,111200300
2018-02-16,272.32,275.32,272.27,273.11,268.019,160420100
2018-02-20,272.03,273.67,270.5,271.4,266.3409,86369700
2018-02-21,271.9,274.72,269.94,270.05,265.0161,98883700
2018-02-22,271.1,273.05,269.64,270.4,265.3596,110511300
2018-02-23,271.79,274.71,271.25,274.71,269.5892,92766400
2018-02-26,275.93,278.01,275.26,277.9,272.7198,86491400
2018-02-27,278.11,278.92,274.36,274.43,269.3144,99099200
2018-02-28,275.68,276.19,271.29,271.65,266.5863,121907800
2018-03-01,271.41,273.17,266.0,267.7,262.7099,176855100
2018-03-02,265.8,269.72,264.82,269.08,264.0641,139083200
2018-03-05,267.73,272.89,267.61,272.19,267.1162,97307400
2018-03-06,273.3,273.39,271.18,272.88,267.7933,79213200
2018-03-07,270.42,273.18,270.2,272.78,267.6952,87063500
2018-03-08,273.55,274.24,272.42,274.1,268.9906,66901200
2018-03-09,275.7,278.87,275.34,278.87,273.6717,113625300
2018-03-12,279.2,279.91,278.08,278.52,273.3282,71924800
2018-03-13,279.84,280.41,276.03,276.72,271.5618,91968900
2018-03-14,277.81,278.02,274.67,275.3,270.1682,105895100
2018-03-15,275.88,276.61,274.43,275.0,269.8738,83433000
2018-03-16,274.5,275.39,274.14,274.2,270.1665,100343700
2018-03-19,273.35,274.4,268.62,270.49,266.511,109208400
2018-03-20,270.94,271.67,270.18,270.95,266.9643,59757300
2018-03-21,270.9,273.27,270.19,270.43,266.4519,78709600
2018-03-22,267.91,268.87,263.36,263.67,259.7914,148785900
2018-03-23,264.17,264.54,257.83,258.05,254.254,183534800
2018-03-26,262.13,265.43,259.41,265.11,261.2102,141956100
2018-03-27,266.17,266.77,258.84,260.6,256.7665,129941400
2018-03-28,260.75,262.64,258.58,259.83,256.0078,146452300
2018-03-29,261.12,265.26,259.84,263.15,259.279,111601600
2018-04-02,262.55,263.13,254.67,257.47,253.6825,186286300
2018-04-03,258.87,261.31,256.84,260.77,256.934,119956900
2018-04-04,256.75,264.36,256.6,263.56,259.683,123715300
2018-04-05,265.55,266.64,264.32,265.64,261.7324,82652600
2018-04-06,263.42,265.11,258.0,259.72,255.8994,179521200
2018-04-09,261.37,264.84,259.94,261.0,257.1606,105442900
2018-04-10,264.27,266.04,262.98,265.15,261.2496,103529000
2018-04-11,263.47,265.64,263.39,263.76,259.88,91140200
2018-04-12,265.26,267.0,265.06,265.93,262.0181,68890500
2018-04-13,267.41,267.54,264.01,265.15,261.2496,85079200
2018-04-16,267.0,268.2,266.07,267.33,263.3975,63405300
2018-04-17,269.33,270.87,268.75,270.19,266.2154,64682000
2018-04-18,270.69,271.3,269.87,270.39,266.4125,57303900
2018-04-19,269.65,269.88,267.72,268.89,264.9346,77655900
2018-04-20,268.81,269.06,265.61,266.61,262.6881,99953100
2018-04-23,267.26,267.89,265.35,266.57,262.6487,65558000
2018-04-24,267.73,267.98,261.28,262.98,259.1115,112885500
2018-04-25,262.91,264.13,260.85,263.63,259.7519,103840900
2018-04-26,264.79,267.25,264.29,266.31,262.3925,67731900
2018-04-27,267.0,267.34,265.5,266.56,262.6388,57053600
2018-04-30,267.26,267.89,264.43,264.51,260.619,82182300
2018-05-01,263.87,265.1,262.11,264.98,261.0821,74203400
2018-05-02,264.76,265.68,262.76,263.2,259.3283,86368900
2018-05-03,262.26,263.36,259.05,262.62,258.7568,136311500
2018-05-04,261.52,266.79,261.15,266.02,262.1068,91222100
2018-05-07,266.89,268.02,266.11,266.92,262.9936,55304900
2018-05-08,266.5,267.33,265.15,266.92,262.9936,67499200
2018-05-09,267.68,269.87,267.09,269.5,265.5356,59666100
2018-05-10,270.34,272.39,270.22,272.02,268.0185,72063900
2018-05-11,272.16,273.15,271.58,272.85,268.8363,59871500
2018-05-14,273.34,274.08,272.36,272.98,268.9644,54790600
2018-05-15,271.59,271.61,270.03,271.1,267.112,87036100
2018-05-16,271.14,272.76,271.11,272.24,268.2352,53942600
2018-05-17,271.94,273.23,271.13,272.01,268.0087,56536400
2018-05-18,271.62,272.03,270.93,271.33,267.3387,64368000
2018-05-21,273.01,273.98,272.57,273.37,269.3486,58025900
2018-05-22,273.96,274.25,272.24,272.61,268.5998,52966400
2018-05-23,271.17,273.39,270.99,273.36,269.3388,61021700
2018-05-24,272.91,273.22,270.78,272.8,268.787,76043800
2018-05-25,272.15,272.86,271.58,272.15,268.1466,56374800
2018-05-29,270.31,271.17,267.76,269.02,265.0626,115908600
2018-05-30,270.5,273.11,270.42,272.61,268.5998,69678400
2018-05-31,272.15,272.49,270.26,270.94,266.9544,93519900
2018-06-01,272.41,273.94,272.33,273.6,269.5753,71258400
2018-06-04,274.53,275.19,274.26,274.9,270.8561,45385200
2018-06-05,275.05,275.53,274.18,275.1,271.0532,51135000
2018-06-06,275.79,277.52,275.09,277.4,273.3194,62732200
2018-06-07,277.95,278.28,276.34,277.37,273.2898,72969400
2018-06-08,276.85,278.25,276.66,278.19,274.0978,72139700
2018-06-11,278.44,279.37,278.31,278.56,274.4623,58892500
2018-06-12,279.03,279.33,278.19,278.92,274.817,72329000
2018-06-13,279.19,279.48,277.8,278.03,273.9401,79070600
2018-06-14,279.01,279.33,278.06,278.73,274.6298,77097600
2018-06-15,276.6,277.51,275.35,277.13,274.2794,120041600
2018-06-18,275.49,276.7,274.95,276.56,273.7153,52917600
2018-06-19,274.0,275.75,273.53,275.5,272.6662,97531500
2018-06-20,276.27,276.72,275.59,275.97,273.1314,53785500
2018-06-21,275.96,275.98,273.68,274.24,271.4192,71061400
2018-06-22,275.66,275.79,274.49,274.74,271.914,54898500
2018-06-25,273.44,273.62,269.1,271.0,268.2125,137854200
2018-06-26,271.64,272.56,270.79,271.6,268.8063,68547400
2018-06-27,272.26,273.87,269.18,269.35,266.5795,105110700
2018-06-28,269.29,271.75,268.49,270.89,268.1036,76650500
2018-06-29,272.12,273.66,271.15,271.28,268.4896,97592500
2018-07-02,269.51,272.04,269.24,271.86,269.0637,63554800
2018-07-03,272.87,272.98,270.42,270.9,268.1135,42187100
