format=1 tracks=10 division=480
BA 16 CR 1/60 TR 2 CH 3 NT Eb-- 1+1/6
BA 16 CR 1/2 TR 3 CH 5 NT Bb' 7/16
BA 16 CR 1/2 TR 6 CH 7 Instrument 62
BA 16 CR 1/2 TR 9 CH 10 NT F#-- 5/24
BA 16 CR 1 TR 3 CH 5 NT G#' 7/16
BA 16 CR 1 TR 4 CH 4 NT F'' 5/8
BA 16 CR 1 TR 7 CH 10 NT D-- 5/24
BA 16 CR 1 TR 9 CH 10 NT F#-- 5/16
BA 16 CR 1+19/96 TR 6 CH 7 Channel volume 100
BA 16 CR 1+7/30 TR 5 CH 6 ST &B5 &0A &5A
BA 16 CR 1+1/2 TR 3 CH 5 NT G' 7/16
BA 16 CR 1+1/2 TR 8 CH 10 NT C-- 3/16
BA 16 CR 1+1/2 TR 9 CH 10 NT F#-- 5/24
BA 16 CR 1+8/15 TR 2 CH 3 NT Eb-- 3/4
BA 16 CR 2 TR 3 CH 5 NT F' 7/16
BA 16 CR 2 TR 4 CH 4 NT F'' 5/8
BA 16 CR 2 TR 9 CH 10 NT F#-- 5/16
BA 16 CR 2+1/4 TR 5 CH 6 Channel volume 88
BA 16 CR 2+1/2 TR 3 CH 5 NT C' 7/16
BA 16 CR 2+1/2 TR 8 CH 10 NT C-- 3/16
BA 16 CR 2+1/2 TR 9 CH 10 NT F#-- 5/24
BA 16 CR 2+259/480 TR 2 CH 3 NT C- 39/80
BA 16 CR 3 TR 3 CH 5 NT Eb' 7/16
BA 16 CR 3 TR 4 CH 4 NT F'' 5/8
BA 16 CR 3 TR 7 CH 10 NT D-- 5/24
