,Change,Shares,DataSize,LoseStreak,Invested,CurrentValue,LastPurchase
MLPZ,0.5250551528521904,49,759,7,3173,1666,2016-10-10
MMTM,0.9413012729844413,11,1590,10,1414,1331,2018-12-26
MNA,0.8811463894352346,98,2300,12,3559,3136,2014-08-29
MOAT,1.4641744548286604,20,1718,10,642,940,2018-12-26
MOM,0.6545409552091067,115,1878,7,4041,2645,2019-02-07
MOO,0.9642857142857143,3,2300,9,196,189,2018-12-26
MORL,0.5172413793103449,1,1596,7,29,15,2012-11-15
MORT,0.6764705882352942,1,1891,7,34,23,2017-08-07
MOTI,0.7111111111111111,1,882,7,45,32,2017-12-15
AADR,0.8636875704093128,50,2163,10,2663,2300,2018-07-06
AAXJ,1.1133200795228628,8,2300,8,503,560,2016-01-29
ACES,0.7540279269602578,26,164,8,931,702,2019-01-31
ACIM,1.0249584026622296,40,1754,10,3005,3080,2018-12-26
ACSI,0.8461538461538461,6,576,7,234,198,2018-12-26
ACT,0.6830601092896175,5,299,7,183,125,2018-01-25
ACWI,0.9861111111111112,1,2300,7,72,71,2018-12-26
ACWV,0.9832402234636871,2,1846,8,179,176,2018-12-26
ACWX,0.9231833910034603,29,2300,11,1445,1334,2015-10-02
ADRE,0.9291784702549575,24,2300,10,1059,984,2016-12-02
ADRU,0.703125,15,2300,9,448,315,2015-10-06
AFK,0.5047801147227533,24,2300,10,1046,528,2011-05-12
AFTY,0.5925925925925926,2,995,7,54,32,2017-10-24
AGG,0.8770491803278688,2,2300,7,244,214,2016-07-19
AGQ,0.509783728115345,55,2300,10,2913,1485,2018-06-29
AGZ,0.9232104121475054,19,2300,9,2305,2128,2014-10-08
AIA,1.2156862745098038,5,2300,8,255,310,2011-12-09
AIEQ,0.8666666666666667,1,338,7,30,26,2018-12-26
AIRR,0.7428571428571429,1,1248,7,35,26,2018-10-15
ALFA,1.3457943925233644,3,1693,7,107,144,2012-07-23
ALTS,0.74,33,1100,9,1650,1221,2015-08-13
ALTY,0.5996843766438716,76,910,12,1901,1140,2018-10-23
AMJ,0.5220883534136547,10,2300,8,498,260,2015-07-02
AMJL,0.6016597510373444,29,696,11,723,435,2018-12-19
AMZA,0.20512820512820512,4,1105,8,117,24,2015-07-08
ANGL,0.8148760330578513,68,1728,8,2420,1972,2015-09-11
AOA,0.9636363636363636,21,2300,8,1155,1113,2015-08-10
AOK,0.7805926261026916,203,2300,9,8842,6902,2017-10-05
AOR,0.8764940239043825,5,2300,8,251,220,2015-08-10
ARGT,0.8529801324503311,23,2007,9,755,644,2018-07-03
ARKG,0.8969072164948454,3,1084,7,97,87,2018-12-26
ARKK,1.413280475718533,62,1084,9,2018,2852,2018-10-16
ARKQ,1.2392703862660943,99,1107,15,2796,3465,2017-01-04
ASHR,0.5994236311239193,8,1332,8,347,208,2018-08-27
ASHS,0.684085510688836,32,1198,11,1263,864,2018-07-24
ATMP,0.6162089752176825,46,1498,10,1493,920,2018-11-01
AUSE,0.8244274809160306,14,2300,7,917,756,2014-10-08
