,%Down,%Up,Change
RS,0.083,0.5,1.0854
LAMR,0.25,0.5,1.0267
WAB,0.333,0.5,1.0139
EHC,0.167,0.333,0.9701
SNV,0.0,0.333,1.0833
STOR,0.083,0.083,1.0323
PK,0.083,0.167,1.0667
EXEL,0.333,0.0,0.9545
DEI,0.0,0.25,1.0263
HOG,0.167,0.0,1.0278
NKTR,0.333,0.25,0.9302
WBC,0.25,0.5,1.0348
CPB,0.167,0.25,0.9143
ACC,0.083,0.083,1.0
PRGO,0.25,0.167,1.0213
LB,0.083,0.167,1.0
CPRI,0.25,0.0,0.8958
FWONK,0.333,0.417,1.0323
MAC,0.25,0.25,0.9556
HXL,0.167,0.167,1.029
HLF,0.333,0.167,0.9333
SABR,0.167,0.083,0.9565
MASI,0.25,0.25,1.0079
HTA,0.083,0.083,1.0
FLS,0.083,0.333,1.0455
POOL,0.5,0.5,1.0064
CTLT,0.0,0.333,1.1026
JEF,0.083,0.25,1.0
NRZ,0.083,0.083,0.9412
STWD,0.083,0.083,1.0
RGLD,0.25,0.333,1.023
NYCB,0.083,0.25,1.0909
PFPT,0.333,0.5,1.0259
HEIA,0.0,0.0,1.0
ORI,0.0,0.083,1.05
LEG,0.0,0.167,1.0227
CFR,0.167,0.417,1.0606
RNR,0.333,0.25,1.0284
OSK,0.167,0.5,1.08
AMH,0.167,0.083,0.9545
DNKN,0.167,0.5,1.029
ROL,0.083,0.083,1.0541
AMG,0.25,0.333,1.0
ALSN,0.083,0.25,1.0417
BIO,0.167,0.75,1.096
ZAYO,0.167,0.0,0.9259
HP,0.333,0.25,0.9821
SON,0.167,0.25,1.0172
BPOP,0.167,0.167,1.037
AXTA,0.167,0.167,1.0385
OC,0.417,0.333,0.9623
TRIP,0.25,0.167,0.9153
CUBE,0.25,0.25,1.0
FAF,0.083,0.083,1.02
CZR,0.0,0.0,1.0
AA,0.167,0.25,1.0345
JBLU,0.167,0.25,1.0
CY,0.083,0.0,1.0
LOPE,0.167,0.417,1.2581
LECO,0.167,0.417,1.0
TDC,0.0,0.167,1.0
MAN,0.0,0.5,1.0633
MPWR,0.333,0.5,1.0226
MSG,0.417,0.333,1.0348
IPGP,0.167,0.583,1.1387
EPR,0.25,0.417,1.0137
CIT,0.0,0.417,1.0851
CONE,0.083,0.25,0.963
GPS,0.167,0.083,0.96
GLIBA,0.083,0.167,1.0
PWR,0.0,0.167,1.0588
BRX,0.0,0.0,1.0
JWN,0.333,0.167,0.9565
GNTX,0.25,0.083,1.0
TOL,0.333,0.167,1.0
SERV,0.083,0.25,1.0
MDU,0.0,0.167,1.08
GRA,0.083,0.167,1.0694
WH,0.083,0.5,1.0588
CW,0.25,0.5,1.0431
HUN,0.083,0.167,1.0909
FLR,0.083,0.333,1.0857
